ma_xa,ten_xa,ndvi_mean,ndvi_std,ndvi_min,ndvi_max,count,alert_low_green
22828,Anh Dũng,0.257,0.099,0.063,0.382,1504,False
22423,Ba Ngòi,0.534,0.025,0.379,0.72,11852,False
22795,Bác Ái,0.43,0.049,0.268,0.507,10410,False
22801,Bác Ái Đông,0.372,0.078,0.189,0.465,6464,False
22786,Bác Ái Tây,0.363,0.045,0.281,0.466,3399,False
22411,Bắc Cam Ranh,0.624,0.065,0.476,0.79,5725,False
22615,Bắc Khánh Vĩnh,0.693,0.053,0.535,0.841,5690,False
22333,Bắc Nha Trang,0.256,0.082,0.08,0.337,9596,False
22546,Bắc Ninh Hòa,0.542,0.097,0.44,0.704,4137,False
22741,Bảo An,0.329,0.091,0.176,0.495,8015,False
22909,Cà Ná,0.73,0.07,0.589,0.896,9868,False
22465,Cam An,0.702,0.033,0.591,0.764,3045,False
22435,Cam Hiệp,0.532,0.096,0.467,0.614,9502,False
22453,Cam Lâm,0.602,0.022,0.499,0.786,6567,False
22432,Cam Linh,0.459,0.044,0.264,0.641,3088,False
22420,Cam Ranh,0.646,0.043,0.564,0.727,984,False
22840,Công Hải,0.419,0.074,0.352,0.552,10701,False
22504,Đại Lãnh,0.353,0.059,0.248,0.442,10607,False
22657,Diên Điền,0.317,0.027,0.252,0.429,1507,False
22651,Diên Khánh,0.286,0.021,0.196,0.339,6875,False
22678,Diên Lạc,0.465,0.068,0.278,0.557,1846,False
22660,Diên Lâm,0.409,0.059,0.311,0.5,1317,False
22672,Diên Thọ,0.548,0.068,0.41,0.736,1446,False
22738,Đô Vinh,0.158,0.065,0.072,0.296,11302,True
22780,Đông Hải,0.419,0.091,0.269,0.496,6478,False
22732,Đông Khánh Sơn,0.369,0.093,0.3,0.483,11993,False
22561,Đông Ninh Hòa,0.267,0.035,0.099,0.391,9448,False
22591,Hòa Thắng,0.507,0.095,0.394,0.653,9057,False
22558,Hòa Trí,0.411,0.083,0.333,0.541,1996,False
22714,Khánh Sơn,0.33,0.071,0.166,0.443,5630,False
22609,Khánh Vĩnh,0.276,0.073,0.143,0.373,7108,False
22813,Lâm Sơn,0.675,0.064,0.559,0.811,7423,False
22822,Mỹ Sơn,0.628,0.093,0.542,0.824,2354,False
22480,Nam Cam Ranh,0.514,0.039,0.347,0.647,914,False
22648,Nam Khánh Vĩnh,0.357,0.068,0.252,0.54,7665,False
22402,Nam Nha Trang,0.718,0.085,0.662,0.77,2014,False
22597,Nam Ninh Hòa,0.488,0.031,0.293,0.568,11290,False
22366,Nha Trang,0.41,0.069,0.355,0.59,4507,False
22834,Ninh Chử,0.69,0.052,0.622,0.825,11187,False
22852,Ninh Hải,0.342,0.081,0.222,0.465,5406,False
22528,Ninh Hòa,0.568,0.025,0.487,0.673,5533,False
22870,Ninh Phước,0.338,0.069,0.238,0.432,9266,False
22810,Ninh Sơn,0.307,0.089,0.172,0.459,10879,False
22759,Phan Rang,0.571,0.07,0.377,0.676,2712,False
22888,Phước Dinh,0.287,0.046,0.097,0.402,5757,False
22900,Phước Hà,0.446,0.072,0.385,0.613,2100,False
22873,Phước Hậu,0.498,0.047,0.32,0.69,8641,False
22891,Phước Hữu,0.263,0.073,0.188,0.462,8611,False
22708,Suối Dầu,0.589,0.03,0.417,0.712,2385,False
22702,Suối Hiệp,0.479,0.042,0.385,0.55,10745,False
22576,Tân Định,0.523,0.023,0.365,0.577,11778,False
22720,Tây Khánh Sơn,0.373,0.027,0.215,0.497,10652,False
22624,Tây Khánh Vĩnh,0.402,0.064,0.224,0.463,9787,False
22390,Tây Nha Trang,0.447,0.039,0.25,0.515,9109,False
22552,Tây Ninh Hòa,0.432,0.061,0.341,0.517,3921,False
22849,Thuận Bắc,0.555,0.073,0.411,0.754,11815,False
22897,Thuận Nam,0.496,0.09,0.335,0.57,4239,False
22612,Trung Khánh Vĩnh,0.4,0.048,0.338,0.467,6647,False
22736,Trường Sa,0.151,0.045,0.002,0.338,8672,True
22498,Tu Bông,0.626,0.045,0.528,0.769,9474,False
22525,Vạn Hưng,0.462,0.029,0.388,0.623,4451,False
22489,Vạn Ninh,0.346,0.073,0.214,0.449,5472,False
22516,Vạn Thắng,0.45,0.086,0.331,0.64,6121,False
22846,Vĩnh Hải,0.206,0.058,0.069,0.402,4756,False
22861,Xuân Hải,0.693,0.065,0.547,0.827,4463,False
