ma_xa,ten_xa,sap_nhap,tru_so,loai,cap,stt,dtich_km2,dan_so,matdo_km2,ma_tinh,ten_tinh,ndvi_mean,ndvi_std,ndvi_min,ndvi_max,count,alert_low_green
22828,Anh Dũng,"Ma Nới, Hòa Sơn",đang cập nhật,Xã,2,61,320.6,10300,32.13,56,Khánh Hòa,0.257,0.099,0.063,0.382,1504,False
22423,Ba Ngòi,"Ba Ngòi, Cam Phước Đông",đang cập nhật,Phường,2,8,78.2,31708,405.47,56,Khánh Hòa,0.534,0.025,0.379,0.72,11852,False
22795,Bác Ái,"Phước Tiến, Phước Thắng, Phước Chính",đang cập nhật,Xã,2,64,188.5,12270,65.09,56,Khánh Hòa,0.43,0.049,0.268,0.507,10410,False
22801,Bác Ái Đông,"Phước Đại, Phước Thành",đang cập nhật,Xã,2,63,235.2,9335,39.69,56,Khánh Hòa,0.372,0.078,0.189,0.465,6464,False
22786,Bác Ái Tây,"Phước Hòa, Phước Tân, Phước Bình",đang cập nhật,Xã,2,65,478.7,11090,23.17,56,Khánh Hòa,0.363,0.045,0.281,0.466,3399,False
22411,Bắc Cam Ranh,"Cam Nghĩa, Cam Phúc Bắc, Cam Thành Nam",đang cập nhật,Phường,2,5,134.0,43644,325.7,56,Khánh Hòa,0.624,0.065,0.476,0.79,5725,False
22615,Bắc Khánh Vĩnh,"Khánh Bình, Khánh Đông",đang cập nhật,Xã,2,33,144.2,9199,63.79,56,Khánh Hòa,0.693,0.053,0.535,0.841,5690,False
22333,Bắc Nha Trang,"Vĩnh Hòa, Vĩnh Hải, Vĩnh Phước, Vĩnh Thọ, Vĩnh Lương, Vĩnh Phương",đang cập nhật,Phường,2,2,97.0,128239,1322.05,56,Khánh Hòa,0.256,0.082,0.08,0.337,9596,False
22546,Bắc Ninh Hòa,"Ninh An, Ninh Sơn, Ninh Thọ",đang cập nhật,Xã,2,10,237.0,32329,136.41,56,Khánh Hòa,0.542,0.097,0.44,0.704,4137,False
22741,Bảo An,"Phước Mỹ, Bảo An, Thành Hải",đang cập nhật,Phường,2,45,18.5,45995,2486.22,56,Khánh Hòa,0.329,0.091,0.176,0.495,8015,False
22909,Cà Ná,"Phước Diêm, Cà Ná",đang cập nhật,Xã,2,51,63.9,24903,389.72,56,Khánh Hòa,0.73,0.07,0.589,0.896,9868,False
22465,Cam An,"Cam Phước Tây, Cam An Bắc (1 phần), Cam An Nam (1 phần)",đang cập nhật,Xã,2,32,122.0,19534,160.11,56,Khánh Hòa,0.702,0.033,0.591,0.764,3045,False
22435,Cam Hiệp,"Sơn Tân, Cam Hiệp Bắc (1 phần), Cam Hiệp Nam (1 phần), Cam Hòa (1 phần), Cam Tân (1 phần), Suối Tân (1 phần)",đang cập nhật,Xã,2,31,115.1,5000,43.44,56,Khánh Hòa,0.532,0.096,0.467,0.614,9502,False
22453,Cam Lâm,"Cam Đức (thị trấn), Cam Hải Đông, Cam Hải Tây, Cam Thành Bắc, Cam Hiệp Bắc (1 phần), Cam Hiệp Nam (1 phần), Cam Hòa (1 phần), Cam Tân (1 phần), Cam An Bắc (1 phần), Cam An Nam (1 phần), Suối Tân (1 phần)",đang cập nhật,Xã,2,29,149.9,86530,577.25,56,Khánh Hòa,0.602,0.022,0.499,0.786,6567,False
22432,Cam Linh,"Cam Thuận, Cam Lợi, Cam Linh",đang cập nhật,Phường,2,7,4.8,33052,6885.83,56,Khánh Hòa,0.459,0.044,0.264,0.641,3088,False
22420,Cam Ranh,"Cam Phú, Cam Lộc, Cam Phúc Nam",đang cập nhật,Phường,2,6,17.5,31237,1784.97,56,Khánh Hòa,0.646,0.043,0.564,0.727,984,False
22840,Công Hải,"Phước Chiến, Công Hải",đang cập nhật,Xã,2,58,124.3,14727,118.48,56,Khánh Hòa,0.419,0.074,0.352,0.552,10701,False
22504,Đại Lãnh,"Vạn Thạnh, Vạn Thọ, Đại Lãnh",đang cập nhật,Xã,2,18,171.0,25644,149.96,56,Khánh Hòa,0.353,0.059,0.248,0.442,10607,False
